date,first,second,third,fourth,fiveth,sum
191127002,3,3,2,8,0,16
191127003,2,8,1,0,9,20
191127004,6,7,8,7,9,37
191127005,1,8,4,6,5,24
191127006,1,1,5,4,5,16
191127007,4,5,9,2,6,26
191127008,2,9,1,3,4,19
191127009,9,9,1,2,1,22
191127010,8,9,3,8,9,37
191127011,7,4,3,4,6,24
191127012,7,3,5,9,5,29
191127013,6,4,2,7,2,21
191127014,1,7,8,9,4,29
191127015,8,1,8,4,3,24
191127016,0,6,7,0,3,16
191127017,1,9,4,5,5,24
191127018,1,9,2,3,9,24
191127019,2,9,6,5,7,29
191127020,8,9,8,5,8,38
191127021,2,9,2,8,1,22
191127022,4,2,9,3,0,18
191127023,3,7,0,9,4,23
191127024,3,1,5,5,7,21
191127025,0,2,8,8,2,20
191127026,6,9,0,7,7,29
191127027,0,2,5,6,5,18
191127028,1,9,9,1,7,27
191127029,1,7,6,6,6,26
191127030,3,7,9,5,2,26
191127031,7,4,5,3,2,21
191127032,8,6,9,4,7,34
191127033,0,3,4,1,1,9
191127034,0,7,7,2,3,19
191127035,8,1,8,1,9,27
191127036,5,6,0,3,1,15
191127037,6,7,8,8,0,29
191127038,2,1,8,4,9,24
191127039,0,4,4,3,2,13
191127040,1,0,2,4,7,14
191127041,7,5,8,8,5,33
191127042,3,6,5,3,9,26
191127043,9,6,0,6,5,26
191127044,6,3,2,2,1,14
191127045,1,5,7,7,3,23
191127046,7,0,9,4,1,21
191127047,3,4,2,2,2,13
191127048,5,9,6,3,9,32
191127049,8,7,3,1,7,26
191127050,4,2,9,8,1,24
191127051,6,4,6,0,1,17
191127052,9,4,7,4,5,29
191127053,8,7,1,7,8,31
191127054,6,8,5,0,6,25
191127055,7,7,1,0,7,22
191127056,9,8,4,1,6,28
191127057,7,2,1,0,5,15
191127058,8,1,1,8,3,21
191127059,6,5,3,4,1,19
191127060,7,7,2,5,9,30
191127061,4,2,0,0,5,11
191127062,5,7,9,0,5,26
191127063,7,0,6,9,7,29
191127064,3,2,6,4,3,18
191127065,7,0,7,2,8,24
191127066,3,7,5,4,2,21
191127067,3,3,3,7,7,23
191127068,0,9,0,6,3,18
191127069,9,7,6,2,1,25
191127070,0,9,3,6,5,23
191127071,3,5,8,7,0,23
191127072,9,8,1,4,0,22
191127073,8,8,7,9,6,38
191127074,0,5,6,5,9,25
191127075,9,1,6,1,1,18
191127076,1,4,5,6,0,16
191127077,1,3,6,4,3,17
191127078,6,5,8,0,0,19
191127079,0,2,5,5,3,15
191127080,8,1,2,6,6,23
191127081,0,2,3,8,1,14
191127082,5,4,6,5,8,28
191127083,9,2,2,3,6,22
191127084,4,6,4,6,8,28
191127085,5,6,9,2,3,25
191127086,7,8,9,0,3,27
191127087,4,4,9,3,8,28
191127088,6,4,8,5,6,29
191127089,0,7,5,6,7,25
191127090,1,0,0,3,5,9
191127091,0,1,9,4,5,19
191127092,2,3,7,9,8,29
191127093,1,7,7,0,4,19
191127094,6,8,6,4,2,26
191127095,1,6,5,2,7,21
191127096,4,9,5,7,2,27
191127097,1,9,2,4,6,22
191127098,1,9,9,0,3,22
191127099,1,5,7,0,0,13
191127100,5,3,9,1,3,21
191127101,6,0,1,0,0,7
191127102,2,9,3,0,8,22
191127103,2,7,7,2,1,19
191127104,0,6,4,1,0,11
191127105,1,1,1,1,2,6
191127106,0,8,7,1,2,18
191127107,5,9,3,7,3,27
191127108,5,1,9,9,8,32
191127109,2,8,5,1,1,17
191127110,4,2,4,9,1,20
191127111,8,5,8,2,4,27
191127112,4,0,6,1,8,19
191127113,1,0,9,0,9,19
191127114,3,5,3,6,0,17
191127115,8,3,7,3,9,30
191127116,3,8,5,4,3,23
191127117,9,0,1,3,0,13
191127118,7,6,1,7,7,28
191127119,4,5,4,9,1,23
191127120,3,7,5,4,4,23
191127121,1,5,1,5,9,21
191127122,2,5,9,1,5,22
191127123,6,5,6,9,7,33
191127124,6,4,5,1,7,23
191127125,0,1,1,1,2,5
191127126,8,9,0,5,8,30
191127127,8,3,1,2,1,15
191127128,2,6,3,4,0,15
191127129,4,0,7,8,1,20
191127130,3,2,1,1,3,10
191127131,2,5,5,2,2,16
191127132,1,1,6,8,9,25
191127133,3,0,9,8,8,28
191127134,8,7,7,0,3,25
191127135,3,1,6,7,7,24
191127136,1,4,8,1,3,17
191127137,5,1,5,7,1,19
191127138,5,9,0,7,8,29
191127139,9,4,2,6,4,25
191127140,1,8,8,4,3,24
191127141,1,5,2,7,8,23
191127142,6,2,7,7,3,25
191127143,5,5,7,4,9,30
191127144,5,1,0,4,7,17
191127145,9,7,0,2,9,27
191127146,2,7,3,6,7,25
191127147,8,4,3,6,1,22
191127148,9,6,7,3,8,33
191127149,8,0,5,0,2,15
191127150,8,9,3,0,8,28
191127151,2,0,1,7,4,14
191127152,0,7,4,1,8,20
191127153,2,5,1,0,5,13
191127154,3,4,0,6,7,20
191127155,1,8,1,4,9,23
191127156,9,2,9,8,3,31
191127157,1,1,4,4,4,14
191127158,9,5,7,3,4,28
191127159,1,3,3,0,5,12
191127160,3,0,6,2,7,18
191127161,3,1,4,3,8,19
191127162,3,1,3,8,5,20
191127163,9,2,1,8,2,22
191127164,0,6,8,6,6,26
191127165,2,0,8,5,4,19
191127166,3,8,2,3,1,17
191127167,3,9,1,9,8,30
191127168,1,9,4,6,9,29
191127169,7,0,9,1,0,17
191127170,7,7,6,3,0,23
191127171,7,5,7,7,9,35
191127172,4,3,4,0,0,11
191127173,7,0,1,6,5,19
191127174,2,2,4,0,6,14
191127175,6,0,6,3,0,15
191127176,4,8,2,0,9,23
191127177,6,7,3,3,8,27
191127178,0,8,9,9,2,28
191127179,5,5,0,3,9,22
191127180,7,5,6,9,2,29
191127181,9,1,0,4,0,14
191127182,1,2,5,4,1,13
191127183,4,6,7,7,3,27
191127184,8,0,3,6,0,17
191127185,4,3,0,8,4,19
191127186,6,3,8,7,6,30
191127187,4,8,7,1,5,25
191127188,7,9,9,4,1,30
191127189,3,7,7,6,9,32
191127190,7,2,2,5,3,19
191127191,8,8,9,4,1,30
191127192,1,1,7,4,2,15
191127193,3,0,0,4,9,16
191127194,2,5,9,5,5,26
191127195,9,5,1,4,0,19
191127196,1,2,5,4,2,14
191127197,9,4,5,7,6,31
191127198,5,8,3,4,1,21
191127199,0,9,3,0,4,16
191127200,9,0,0,1,8,18
191127201,2,8,9,9,1,29
191127202,7,2,1,1,6,17
191127203,6,0,5,2,8,21
191127204,8,6,3,4,3,24
191127205,1,3,9,0,5,18
191127206,0,2,7,0,5,14
191127207,2,8,6,6,1,23
191127208,6,0,3,3,0,12
191127209,3,6,6,2,2,19
191127210,5,3,9,5,2,24
191127211,2,6,2,2,0,12
191127212,2,3,1,8,8,22
191127213,9,2,1,7,8,27
191127214,6,6,0,9,3,24
191127215,2,0,4,0,7,13
191127216,7,7,8,7,5,34
191127217,3,8,6,5,5,27
191127218,2,0,9,9,8,28
191127219,2,6,3,7,1,19
191127220,2,6,5,7,2,22
191127221,6,1,9,1,2,19
191127222,2,4,1,1,4,12
191127223,4,6,6,8,2,26
191127224,7,1,3,4,5,20
191127225,3,1,4,2,5,15
191127226,8,3,9,5,7,32
191127227,9,8,7,2,9,35
191127228,6,3,3,7,0,19
191127229,7,7,2,9,0,25
191127230,0,3,5,0,1,9
191127231,0,9,4,0,6,19
191127232,8,5,7,7,5,32
191127233,3,8,4,4,7,26
191127234,0,4,5,9,7,25
191127235,4,3,8,7,1,23
191127236,4,0,8,5,6,23
191127237,7,9,0,3,9,28
191127238,9,3,1,1,4,18
191127239,3,4,2,0,3,12
191127240,5,9,5,6,5,30
191127241,5,8,1,5,1,20
191127242,0,6,6,4,3,19
191127243,7,5,3,7,1,23
191127244,0,0,4,2,3,9
