date,first,second,third,fourth,fiveth,sum
190930001,3,1,9,4,3,20
190930002,9,1,0,4,7,21
190930003,4,5,2,6,8,25
190930004,3,6,9,6,6,30
190930005,1,1,4,0,3,9
190930006,6,6,3,7,4,26
190930007,5,4,0,6,9,24
190930008,2,1,1,0,9,13
190930009,7,5,3,0,6,21
190930010,6,2,3,2,3,16
190930011,8,8,8,2,9,35
190930012,9,9,4,9,5,36
190930013,0,5,1,1,8,15
190930014,0,5,0,8,5,18
190930015,5,3,4,1,7,20
190930016,4,2,1,0,1,8
190930017,7,6,1,2,0,16
190930018,8,4,3,6,0,21
190930019,2,7,8,6,2,25
190930020,8,8,1,5,7,29
190930021,7,2,0,5,0,14
190930022,1,2,6,0,8,17
190930023,9,1,6,3,7,26
190930024,9,0,9,8,5,31
190930025,5,4,6,8,1,24
190930026,2,8,6,2,2,20
190930027,5,7,6,9,4,31
190930028,9,4,1,6,5,25
190930029,5,9,5,2,1,22
190930030,4,5,1,7,3,20
190930031,4,5,9,2,6,26
190930032,3,7,3,3,3,19
190930033,1,9,6,2,5,23
190930034,4,7,4,9,8,32
190930035,6,4,6,4,6,26
190930036,6,6,8,0,0,20
190930037,5,1,4,3,4,17
190930038,9,0,2,6,6,23
190930039,6,0,8,7,4,25
190930040,9,1,7,2,2,21
190930041,3,5,2,6,2,18
190930042,0,8,1,3,3,15
190930043,6,1,2,1,6,16
190930044,6,3,8,7,1,25
190930045,9,9,3,0,7,28
190930046,2,2,2,5,4,15
190930047,9,1,4,6,0,20
190930048,8,2,7,0,3,20
190930049,4,6,1,7,2,20
190930050,5,3,2,0,7,17
190930051,4,3,6,9,1,23
190930052,4,3,3,4,7,21
190930053,2,1,7,3,2,15
190930054,9,6,4,2,3,24
190930055,9,2,5,6,2,24
190930056,6,3,2,8,4,23
190930057,7,5,9,8,7,36
190930058,5,7,5,0,3,20
190930059,7,3,4,3,2,19
190930060,0,0,1,2,6,9
190930061,2,0,4,0,7,13
190930062,6,7,9,7,1,30
190930063,3,6,2,8,1,20
190930064,3,3,2,5,0,13
190930065,5,4,5,0,1,15
190930066,6,5,3,6,3,23
190930067,1,4,0,9,2,16
190930068,2,5,1,1,2,11
190930069,9,3,7,0,3,22
190930070,7,6,0,1,1,15
190930071,7,7,2,5,4,25
190930072,9,3,3,1,5,21
190930073,5,6,5,6,5,27
190930074,4,7,7,5,8,31
190930075,3,8,1,6,3,21
190930076,4,0,0,3,2,9
190930077,4,8,0,7,3,22
190930078,9,0,7,5,9,30
190930079,1,1,2,7,8,19
190930080,3,8,7,2,8,28
190930081,0,2,6,1,6,15
190930082,8,7,8,0,3,26
190930083,6,6,7,8,6,33
190930084,9,9,9,8,1,36
190930085,5,4,8,3,7,27
190930086,0,3,4,4,8,19
190930087,3,1,8,8,2,22
190930088,9,6,7,0,3,25
190930089,2,4,4,1,6,17
190930090,8,9,2,6,3,28
190930091,3,1,6,4,5,19
190930092,9,6,7,2,5,29
190930093,4,0,2,0,2,8
190930094,1,6,5,5,7,24
190930095,5,6,6,2,7,26
190930096,5,2,1,7,2,17
190930097,4,3,1,1,4,13
190930098,0,4,2,8,2,16
190930099,3,0,2,9,2,16
190930100,1,0,2,1,5,9
190930101,1,9,0,9,1,20
190930102,9,3,0,2,6,20
190930103,2,7,9,0,4,22
190930104,6,7,7,9,7,36
190930105,3,0,1,2,5,11
190930106,6,4,4,0,2,16
190930107,8,5,8,1,7,29
190930108,2,2,2,3,1,10
190930109,2,9,1,1,5,18
190930110,0,5,5,3,3,16
190930111,9,8,2,6,9,34
190930112,2,9,0,2,1,14
190930113,5,8,6,6,5,30
190930114,5,3,2,3,1,14
190930115,2,5,2,5,6,20
190930116,8,7,1,3,6,25
190930117,9,0,4,1,9,23
190930118,0,4,4,1,7,16
190930119,7,1,4,5,4,21
190930120,0,0,4,5,0,9
190930121,1,1,2,1,5,10
190930122,3,3,0,1,6,13
190930123,5,3,2,4,0,14
190930124,8,9,7,7,6,37
190930125,2,1,5,9,4,21
190930126,8,6,2,1,2,19
190930127,9,9,4,7,9,38
190930128,4,7,5,2,4,22
190930129,4,4,6,7,4,25
190930130,7,5,8,7,8,35
190930131,5,1,5,0,5,16
190930132,0,6,7,3,7,23
190930133,6,2,2,0,6,16
190930134,1,0,8,2,0,11
190930135,1,0,2,7,8,18
190930136,4,8,7,9,6,34
190930137,7,9,2,6,8,32
190930138,5,0,9,0,5,19
190930139,7,8,3,5,4,27
190930140,9,8,9,7,4,37
190930141,1,2,0,2,9,14
190930142,1,8,2,4,3,18
190930143,1,0,6,6,6,19
190930144,3,5,4,4,7,23
190930145,0,2,7,0,7,16
190930146,0,3,3,3,2,11
190930147,2,5,5,4,8,24
190930148,3,0,2,4,5,14
190930149,3,3,4,8,9,27
190930150,6,6,8,7,0,27
190930151,9,4,8,9,4,34
190930152,9,9,8,0,6,32
190930153,7,0,0,7,2,16
190930154,8,8,9,3,3,31
190930155,8,7,6,6,9,36
190930156,8,8,2,6,9,33
190930157,8,9,9,2,7,35
190930158,2,4,6,6,3,21
190930159,6,4,7,3,8,28
190930160,4,5,6,8,5,28
190930161,9,7,5,6,5,32
190930162,7,2,1,4,5,19
190930163,0,5,8,2,4,19
190930164,7,9,8,5,0,29
190930165,9,1,4,6,2,22
190930166,5,0,5,5,7,22
190930167,3,5,0,7,8,23
190930168,7,7,8,2,6,30
190930169,2,0,5,8,5,20
190930170,4,7,7,2,3,23
190930171,7,0,5,3,4,19
190930172,7,4,1,4,6,22
190930173,1,5,4,3,2,15
190930174,8,7,9,6,8,38
190930175,3,2,5,9,3,22
190930176,1,5,5,3,1,15
190930177,7,9,2,8,3,29
190930178,7,9,0,2,1,19
190930179,7,2,0,5,8,22
190930180,0,4,1,5,5,15
190930181,6,3,4,5,6,24
190930182,0,8,6,2,4,20
190930183,4,6,7,2,2,21
190930184,3,5,6,2,8,24
190930185,3,6,1,2,8,20
190930186,3,7,8,2,9,29
190930187,4,6,7,5,7,29
190930188,2,5,8,8,7,30
190930189,2,5,3,7,9,26
190930190,9,9,6,9,7,40
190930191,9,5,4,5,1,24
190930192,9,2,1,3,6,21
190930193,3,3,6,1,0,13
190930194,9,7,6,3,2,27
190930195,5,8,8,4,7,32
190930196,4,2,5,2,0,13
190930197,8,6,7,2,4,27
190930198,5,9,5,3,7,29
190930199,7,2,9,2,2,22
190930200,5,8,5,8,7,33
190930201,3,4,5,5,7,24
190930202,8,4,8,8,3,31
190930203,9,3,2,0,6,20
190930204,6,4,1,2,8,21
190930205,1,8,7,8,9,33
190930206,7,3,6,8,4,28
190930207,8,0,2,8,3,21
190930208,0,4,8,0,3,15
190930209,2,2,2,3,3,12
190930210,5,7,0,3,0,15
190930211,1,7,8,3,4,23
190930212,1,2,4,9,6,22
190930213,6,1,3,7,6,23
190930214,5,3,7,3,0,18
190930215,4,4,6,0,5,19
190930216,0,8,5,7,7,27
190930217,5,5,8,3,5,26
190930218,3,8,3,1,2,17
190930219,5,2,6,8,0,21
190930220,6,0,3,6,1,16
190930221,0,4,1,5,0,10
190930222,5,5,4,3,5,22
190930223,1,8,4,1,1,15
190930224,5,0,8,3,4,20
190930225,0,5,0,0,9,14
190930226,1,3,5,7,1,17
190930227,7,7,3,2,2,21
190930228,0,7,2,2,7,18
190930229,4,2,1,2,9,18
190930230,0,0,3,4,9,16
190930231,0,5,9,1,4,19
190930232,1,5,5,1,5,17
190930233,3,6,6,7,0,22
190930234,8,0,5,3,7,23
190930235,0,2,3,2,8,15
190930236,4,7,1,4,2,18
190930237,8,8,2,8,4,30
190930238,2,1,4,4,6,17
190930239,2,1,0,8,1,12
190930240,4,7,9,9,3,32
190930241,2,0,4,3,4,13
190930242,1,0,3,0,0,4
190930243,3,6,2,0,9,20
190930244,6,5,8,4,9,32
190930245,0,3,0,8,9,20
190930246,5,3,6,7,0,21
190930247,0,9,6,6,7,28
190930248,4,0,9,8,5,26
190930249,8,1,0,2,1,12
190930250,0,5,1,4,5,15
190930251,6,4,3,2,9,24
190930252,3,7,3,8,5,26
190930253,5,1,8,9,2,25
190930254,4,1,2,5,0,12
190930255,2,3,3,4,8,20
190930256,0,5,1,7,6,19
190930257,0,7,0,4,3,14
190930258,2,5,3,4,9,23
190930259,3,6,0,5,7,21
190930260,2,7,7,0,7,23
190930261,4,9,3,7,6,29
190930262,1,0,4,8,6,19
190930263,6,8,1,4,0,19
190930264,9,6,6,3,1,25
190930265,8,9,4,4,7,32
190930266,4,9,7,9,7,36
190930267,2,9,1,9,0,21
190930268,6,3,3,0,7,19
190930269,4,3,1,8,2,18
190930270,7,3,8,2,6,26
190930271,1,4,8,8,9,30
190930272,2,0,7,5,2,16
190930273,8,8,9,9,8,42
190930274,9,3,1,9,7,29
190930275,2,8,3,9,5,27
190930276,0,3,4,1,1,9
190930277,2,8,9,9,3,31
190930278,0,1,0,9,6,16
190930279,9,9,2,3,7,30
190930280,5,4,0,5,6,20
190930281,6,0,8,9,1,24
190930282,8,6,8,5,0,27
190930283,7,2,4,2,8,23
190930284,8,3,3,6,5,25
190930285,4,4,6,1,5,20
190930286,8,2,6,6,2,24
190930287,7,4,5,1,1,18
190930288,0,7,6,3,5,21
190930289,6,7,2,3,5,23
190930290,5,2,3,1,0,11
190930291,4,6,8,4,7,29
190930292,5,7,5,1,7,25
190930293,1,7,4,7,9,28
190930294,7,6,4,7,9,33
190930295,5,1,7,1,0,14
190930296,8,8,1,8,3,28
190930297,0,6,7,5,0,18
190930298,6,0,2,2,1,11
190930299,5,7,8,3,9,32
190930300,5,5,1,0,6,17
190930301,6,8,0,6,3,23
190930302,1,1,4,7,1,14
190930303,4,4,0,0,7,15
190930304,8,4,0,3,1,16
190930305,4,6,4,3,3,20
190930306,0,5,5,9,7,26
190930307,1,9,4,6,0,20
190930308,7,2,5,6,4,24
190930309,5,5,4,0,3,17
190930310,1,1,3,1,2,8
190930311,8,7,0,6,4,25
190930312,7,1,4,8,7,27
190930313,7,8,4,8,4,31
190930314,6,1,6,3,2,18
190930315,1,3,6,9,6,25
190930316,6,1,6,6,0,19
190930317,6,5,8,2,1,22
190930318,4,5,7,0,8,24
190930319,9,0,6,7,8,30
190930320,1,5,7,1,4,18
190930321,1,9,6,6,1,23
190930322,9,9,0,4,0,22
190930323,5,6,1,1,9,22
190930324,5,0,1,1,3,10
190930325,3,4,2,7,3,19
190930326,5,8,7,2,9,31
190930327,4,1,8,9,5,27
190930328,6,8,5,4,3,26
190930329,6,3,1,5,1,16
190930330,2,8,4,5,7,26
190930331,2,4,4,2,2,14
190930332,5,9,6,2,0,22
